"gene","logFC","FDR","add_variable","time","data_name"
"SCO1234",-2.877,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1234",-2.413,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1234",-3.32,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1235",-3.07,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1235",-2.438,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1235",-3.001,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1236",-2.916,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1236",-2.569,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1236",-3.415,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4139",0.37,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4139",-2.073,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4139",-0.822,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4140",0.364,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4140",-2.015,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4140",-0.862,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4141",0.408,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4141",-2.942,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4141",-1.599,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO4142",0.398,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO4142",-3.38,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO4142",-2.207,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1800",0.151,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1800",1.449,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1800",1.799,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2716",0,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2716",-0.943,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2716",-2.322,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2717",-0.059,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2717",-0.515,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2717",-2.184,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2718",-0.074,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2718",-0.434,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2718",-2.737,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO2719",-0.434,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO2719",-1.515,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO2719",-1.786,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6685",2.011,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6685",1.014,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6685",1.275,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5314",1.333,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5314",-1.396,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5314",-3.322,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5315",1.257,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5315",-1.556,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5315",-2.737,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5316",1.47,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5316",-1.599,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5316",-2.644,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5317",1.043,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5317",-1.434,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5317",-2.943,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5318",1.104,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5318",-1.943,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5318",-2.322,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5319",1.454,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5319",-1.556,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5319",-2.556,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5320",1.35,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5320",-1.322,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5320",-2.737,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5321",0.757,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5321",-1.837,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5321",-1.786,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO6029",-0.044,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO6029",-1.474,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO6029",-1.644,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO1541",0.748,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO1541",-1.737,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO1541",-1.286,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5440",1.293,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5440",-1.252,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5440",-1.599,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5442",1.189,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5442",-1.252,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5442",-1.644,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO5443",1.761,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO5443",-1.059,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO5443",-2.252,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7332",1.59,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7332",-1.474,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7332",-2,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7333",1.551,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7333",-1.474,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7333",-2.12,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7335",1.799,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7335",-0.943,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7335",-2.322,0,"DdraRKvsM145",60,"draRK_scoe"
"SCO7336",1.541,0,"DdraRKvsM145",36,"draRK_scoe"
"SCO7336",-1.556,0,"DdraRKvsM145",48,"draRK_scoe"
"SCO7336",-2.12,0,"DdraRKvsM145",60,"draRK_scoe"
